Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00001,28,28278,827572,640,24,Yes
CUST00002,27,113696,826646,779,12,No
CUST00003,23,28905,148246,611,24,No
CUST00004,22,98563,258496,832,60,No
CUST00005,49,102236,341704,503,24,No
CUST00006,42,61421,213032,610,36,No
CUST00007,45,37676,426417,676,60,No
CUST00008,23,120647,531741,774,12,No
CUST00009,45,35328,628856,650,60,No
CUST00010,44,100674,251629,535,12,No
CUST00011,39,35458,946865,619,12,Yes
CUST00012,50,108320,924628,686,24,No
CUST00013,34,112841,329946,849,12,No
CUST00014,31,95010,814544,625,24,No
CUST00015,38,146292,721088,785,24,No
CUST00016,24,55021,911722,516,36,Yes
CUST00017,25,52653,644731,661,24,No
CUST00018,46,140957,724079,734,24,No
CUST00019,36,122647,638637,775,36,No
CUST00020,48,142679,661878,704,36,No
CUST00021,29,91784,567488,546,12,No
CUST00022,30,107240,217753,848,48,No
CUST00023,45,75019,674834,739,60,No
CUST00024,56,137824,62038,848,12,No
CUST00025,55,123419,329786,828,36,No
CUST00026,48,45730,525763,501,36,Yes
CUST00027,32,91542,161579,820,36,No
CUST00028,53,104818,258573,578,36,No
CUST00029,55,149977,866449,771,12,No
CUST00030,52,27552,167301,685,36,No
CUST00031,36,140082,644916,540,12,No
CUST00032,25,124693,608582,564,24,No
CUST00033,56,46643,327932,770,60,No
CUST00034,34,146754,615492,602,36,No
CUST00035,44,82422,993313,764,48,No
CUST00036,35,33392,404508,510,60,No
CUST00037,58,53864,57540,536,12,No
CUST00038,23,137674,396479,536,60,No
CUST00039,52,53080,615427,567,60,Yes
CUST00040,36,127841,545948,708,24,Yes
CUST00041,48,71438,494154,710,48,No
CUST00042,24,113259,735197,830,12,Yes
CUST00043,42,129935,953529,555,24,No
CUST00044,55,83800,196991,716,24,No
CUST00045,36,139620,129046,726,60,Yes
CUST00046,55,134579,65474,547,24,No
CUST00047,52,88092,274130,705,12,No
CUST00048,21,76173,328085,732,36,No
CUST00049,56,111752,803305,749,24,No
CUST00050,34,32665,657314,777,12,No
CUST00051,24,31572,662554,744,60,No
CUST00052,54,45635,109642,760,12,No
CUST00053,25,102992,121262,845,24,No
CUST00054,57,57271,657040,804,12,No
CUST00055,47,111163,662024,789,60,No
CUST00056,37,51772,752258,660,24,No
CUST00057,29,113039,726856,653,48,No
CUST00058,25,26220,530547,818,60,No
CUST00059,25,95468,273508,759,36,No
CUST00060,43,140456,122132,625,36,No
CUST00061,49,134280,619605,654,60,No
CUST00062,54,26025,750305,783,36,No
CUST00063,27,148067,970782,568,36,No
CUST00064,27,122310,630097,579,36,No
CUST00065,34,119058,409536,604,36,No
CUST00066,37,143664,937204,526,12,No
CUST00067,38,30778,53717,670,24,No
CUST00068,37,46178,827236,726,60,No
CUST00069,56,26267,167308,538,24,No
CUST00070,44,101350,629364,575,48,No
CUST00071,40,72795,992650,520,36,No
CUST00072,36,112416,157786,681,60,No
CUST00073,47,106351,835884,579,24,No
CUST00074,32,140528,482322,512,24,No
CUST00075,42,127548,481712,842,24,No
CUST00076,27,75140,964533,519,48,No
CUST00077,50,70830,370015,616,24,Yes
CUST00078,33,77227,394207,642,12,No
